"Dr. Tammy D.      Wallace","www.myfamilyeyecenter.com"
"Dr. Catherine S.      Amos, MD","www.webeca.com"
"Dr. Paul Dennis      Batson, MD","www.eyehealthpartners.com"
"Dr. Paul Dennis      Batson, MD","www.eyehealthpartners.com"
"Dr. Charles K.      Brown, MD","www.webeca.com"
"Dr. Debra Hill      Brown, MD","www.webeca.com"
"Dr. Sarah Elise      Clark, MD","www.visionfirsteyecenter.com"
"Dr. Sarah Elise      Clark, MD","www.visionfirst.info"
"Dr. Rebecca J.      Doss, MD","www.visionfirst.info"
"Dr. Rebecca J.      Doss, MD","www.visionfirsteyecenter.com"
"Dr. Dorrine H.      Goldschmidt, MD","www.southernfocusvision.com"
"Dr. Lynn S.      Hammonds, MD","www.webeca.com"
"Dr. Amanda Jill Esslinger      Helton, MD","www.eyehealthpartners.com"
"Dr. Jeffrey D.      Hill, MD","www.webeca.com"
"Dr. Victoria Hollis      Hines, MD","www.webeca.com"
"Dr. Michael M.      Kwarcinski, MD","www.webeca.com"
"Dr. Kye L.      Mansfield, MD","www.visionfirsteyecenter.com"
"Dr. James W.      Marbourg, MD","www.eyehealthpartners.com"
"Dr. Mark D.      Mcclintock, MD","www.visionfirst.info"
"Dr. Mark D.      Mcclintock, MD","www.visionfirsteyecenter.com"
"Dr. Lori Akridge      Mcstoots, MD","www.webeca.com"
"Dr. Ronald David      Medlock, MD","www.simonwilliamsonclinic.com"
"Dr. Morgan Christine      Meeks, MD","www.webeca.com"
"Dr. Brittany M.      Mitchell, MD","www.alabamavisioncenter.com"
"Dr. Brittany M.      Mitchell, MD","www.alabamavisioncenter.com"
"Dr. John T.      Nichols, MD","www.brookwoodophtalmology.com"
"Dr. Carol E.      Rosenstiel, MD","www.uab.edu"
"Dr. Fred B.      Setzer Jr, MD","www.visionfirsteyecenter.com"
"Dr. Gerald       Simon, MD","www.simonwilliamsonclinic.com"
"Dr. Hillary Carney      Smith, MD","www.visionamerica-bham.com"
"Dr. Hillary Carney      Smith, MD","www.eyehealthpartners.com"
"Dr. Elizabeth A.      Steele, MD","www.Uabmedicine.org"
"Dr. Kayla Lea      Thomason, MD","www.Uabmedicine.org"
"Dr. Audrey Lee      Thompson, MD","www.meridianeyecarems.com"
"Dr. Tim J.      Thompson, MD","www.michaelcallahanmd.com"
"Dr. Carrie Elizabeth      Wolfe, MD","www.webeca.com"
"Dr. Holly T.      Young, MD","www.alabamavisioncenter.com"
"Dr. Holly T.      Young, MD","www.alabamavisioncenter.com"
"Dr. Karen       Zanoy, MD","www.webeca.com"
